Symbol,Units,Security Type,IPO Date,Exchange,Market Cap,Meger Pending?,Close,Shares,Expiration,Yield*
LCAP,Lionheart Acquisition Corp. II - Class A,Common stocks,10/13/2020,NASDAQ Capital Market,"$132,117,762 ",Y,10.29,"12,703,631",3/12/2021,2.343%
VHAQ,Viveon Health Acquisition Corp.,Common stocks,2/4/2021,NYSE American,"$102,754,706 ",Y,10.21,"10,064,124",7/4/2021,2.321%
GBBKU,"Global Blockchain Acquisition Corp - Units (1 Ord Class A, 1 Right & 1 War)",Units,5/10/2022,NASDAQ Global Market,"$148,800,000 ",N,9.91,"15,000,000",10/7/2022,2.319%
VCKA,Vickers Vantage Corp. I,Common stocks,3/3/2021,NASDAQ Capital Market,"$175,950,000 ",N,10.19,"17,250,000",7/31/2021,2.299%
MEOA,Minority Equality Opportunities Acquisition Inc. Class A,Common stocks,10/17/2021,NASDAQ Capital Market,"$128,593,575 ",N,10.04,"12,808,125",3/16/2022,2.241%
GLSPT,Global SPAC Partners Co. Subunit (1 class A share and 1/4 warrant),Common stocks,5/10/2021,NASDAQ Capital Market,"$156,616,233 ",Y,10.14,"15,460,635",10/7/2021,2.219%
ASCBU,"A SPAC II Acquisition Corp - Units (1 Ord Class A, 1/2 War & 1 Right)",Units,5/3/2022,NASDAQ Global Market,"$183,520,000 ",N,9.92,"18,500,000",9/30/2022,2.167%
GLEE,Gladstone Acquisition Corp. Class A,Common stocks,9/27/2021,NASDAQ Capital Market,"$107,558,417 ",N,10.05,"10,702,330",2/24/2022,2.132%
EVGR,Evergreen Corporation - Class A,Common stocks,4/1/2022,NASDAQ Global Market,"$114,310,000 ",N,9.94,"11,500,000",8/29/2022,2.130%
CNTQ,Chardan NexTech Acquisition 2 Corp. Class A,Common stocks,8/24/2021,NASDAQ Capital Market,"$159,231,875 ",N,10.07,"15,812,500",1/21/2022,2.121%
UTAA,UTA Acquisition Corporation - Class A,Common stocks,1/24/2022,NASDAQ Global Market,"$229,277,800 ",N,9.98,"23,000,000",6/23/2022,2.061%
GPCO,Golden Path Acquisition Corporation,Common stocks,7/30/2021,NASDAQ Capital Market,"$75,027,480 ",Y,10.08,"7,458,000",12/27/2021,1.998%
ESSC,East Stone Acquisition Corporation,Common stocks,3/17/2020,NASDAQ Capital Market,"$74,840,236 ",Y,10.37,"7,168,605",8/14/2020,1.998%
BREZ,Breeze Holdings Acquisition Corp.,Common stocks,12/23/2020,NASDAQ Capital Market,"$149,474,400 ",Y,10.2,"14,640,000",5/22/2021,1.950%
ADOC,Edoc Acquisition Corp. - Class A,Common stocks,12/10/2020,NASDAQ Capital Market,"$32,917,868 ",N,10.2,"3,227,242",5/9/2021,1.882%
LMAO,LMF Acquisition Opportunities Inc. - Class A,Common stocks,3/18/2021,NASDAQ Capital Market,"$105,789,420 ",N,10.14,"10,453,500",8/15/2021,1.794%
SANB,Sanaby Health Acquisition Corp. I - Class A,Common stocks,11/9/2021,NASDAQ Global Market,"$172,845,000 ",N,10.02,"17,250,000",4/8/2022,1.753%
RACY,Relativity Acquisition Corp. - Class A,Common stocks,4/4/2022,NASDAQ Global Market,"$149,836,638 ",N,9.95,"15,028,750",9/1/2022,1.723%
HCMA,HCM Acquisition Corp Class A,Common stocks,3/14/2022,NASDAQ Global Market,"$288,362,500 ",N,9.96,"28,750,000",8/11/2022,1.721%
ENCP,Energem Corp Class A,Common stocks,1/10/2022,NASDAQ Global Market,"$102,569,987 ",N,9.99,"10,267,266",6/9/2022,1.716%
BSGA,Blue Safari Group Acquisition Corp. Class A Ordinary Share,Common stocks,7/27/2021,NASDAQ Capital Market,"$61,488,000 ",Y,10.07,"6,100,000",12/24/2021,1.714%
CLRCU,"ClimateRock - Units (1 Ord Class A, 1 Rts & 1/2 War)",Units,4/28/2022,NASDAQ Global Market,"$74,887,500 ",N,9.94,"7,500,000",9/25/2022,1.685%
VTAQ,Ventoux CCM Acquisition Corp.,Common stocks,2/5/2021,NASDAQ Capital Market,"$218,967,188 ",Y,10.15,"21,562,500",7/5/2021,1.673%
THCA,Tuscan Holdings Corp. II,Common stocks,7/30/2019,NASDAQ Capital Market,"$76,316,410 ",N,10.42,"7,395,001",12/27/2019,1.660%
OTEC,OceanTech Acquisitions I Corp. Class A,Common stocks,7/19/2021,NASDAQ Capital Market,"$105,179,087 ",N,10.07,"10,429,260",12/16/2021,1.625%
