Symbol,Name,Category,Exercise Price,Last Close Price,Issuer Last Close Price,Issuer Market cap,20 Day Average Volume,Issuer Symbol,Issuer,Type,Profit,Return
SYTAW,"Siyata Mobile, Inc. - Warrant",Operating Companies,$0.00 ,$0.18 ,$1.04 ,"$14,388,135 ","13,133",SYTA,"Siyata Mobile, Inc.",Common stocks,0.86,477.78%
IINNW,Inspira Technologies Oxy B.H.N. Ltd. Warrant,Operating Companies,$0.00 ,$0.30 ,$1.72 ,"$11,566,194 ","14,014",IINN,Inspira Technologies Oxy B.H.N. Ltd.,Common stocks,1.42,473.33%
BTBDW,"BT Brands, Inc. Warrant",Operating Companies,$0.00 ,$0.37 ,$2.11 ,"$13,296,335 ","2,160",BTBD,"BT Brands, Inc.",Common stocks,1.74,470.27%
AGRIW,AgriFORCE Growing Systems Ltd. - Warrant,Operating Companies,$0.00 ,$0.46 ,$2.62 ,"$44,819,617 ","7,371",AGRI,AgriFORCE Growing Systems Ltd.,Common stocks,2.16,469.57%
FGIWW,FGI Industries Ltd. Warrant,Operating Companies,$0.00 ,$0.37 ,$2.09 ,"$20,140,000 ","5,956",FGI,FGI Industries Ltd.,Common stocks,1.72,464.86%
STRNW,"Stran & Company, Inc. Warrant",Operating Companies,$0.00 ,$0.31 ,$1.74 ,"$32,831,706 ","7,674",STRN,"Stran & Company, Inc.",Common stocks,1.43,461.29%
VWEWW,"Vintage Wine Estates, Inc. - Warrants",Operating Companies,$0.00 ,$1.40 ,$7.68 ,"$460,749,356 ","26,240",VWE,"Vintage Wine Estates, Inc.",Common stocks,6.28,448.57%
LIXTW,"Lixte Biotechnology Holdings, Inc. - Warrants",Operating Companies,$0.00 ,$0.15 ,$0.82 ,"$14,078,024 ","7,914",LIXT,Lixte Biotechnology Holdings Inc.,Common stocks,0.67,446.67%
PHGE+,BiomX Inc. Warrants,Operating Companies,$0.00 ,$0.15 ,$0.81 ,"$24,732,630 ","9,126",PHGE,BiomX Inc.,Common stocks,0.66,440.00%
RNWWW,ReNew Energy Global plc Warrant,Operating Companies,$0.00 ,$1.28 ,$6.80 ,"$1,881,020,283 ","10,878",RNW,ReNew Energy Global plc Class A,Common stocks,5.52,431.25%
PETVW,"PetVivo Holdings, Inc. - Warrant",Operating Companies,$0.00 ,$0.27 ,$1.43 ,"$14,565,090 ","13,140",PETV,PetVivo Holdings Inc,Common stocks,1.16,429.63%
CTOS+,"Custom Truck One Source, Inc. Warrants",Operating Companies,$0.00 ,$1.15 ,$5.95 ,"$1,510,298,524 ","2,967",CTOS,"Custom Truck One Source, Inc.",Common stocks,4.8,417.39%
ACONW,"Aclarion, Inc. - Warrant",Operating Companies,$0.00 ,$0.34 ,$1.75 ,"$10,771,067 ","14,636",ACON,"Aclarion, Inc.",Common stocks,1.41,414.71%
SONDW,Sonder Holdings Inc. - Warrants,Operating Companies,$0.00 ,$0.35 ,$1.80 ,"$384,636,273 ","65,152",SOND,Sonder Holdings Inc. - Class A,Common stocks,1.45,414.29%
CHEKZ,Check-Cap Ltd. Series C Warrant,Operating Companies,$0.00 ,$0.07 ,$0.36 ,"$35,190,361 ","10,139",CHEK,Check-Cap Ltd.,Common stocks,0.29,414.29%
TRKAW,"Troika Media Group, Inc. Warrant",Operating Companies,$0.00 ,$0.14 ,$0.70 ,"$36,968,658 ","21,411",TRKA,"Troika Media Group, Inc.",Common stocks,0.56,400.00%
SURGW,"SurgePays, Inc. Warrant",Operating Companies,$0.00 ,$0.80 ,$3.99 ,"$46,414,341 ","12,405",SURG,"SurgePays, Inc.",Common stocks,3.19,398.75%
NNAVW,NextNav Inc. - Warrant,Operating Companies,$0.00 ,$0.82 ,$4.03 ,"$412,284,568 ","24,997",NN,NextNav Inc.,Common stocks,3.21,391.46%
EYESW,Second Sight Medical Products Inc. Warrants,Operating Companies,$0.00 ,$0.38 ,$1.85 ,"$68,966,058 ","4,520",EYES,Second Sight Medical Products Inc,Common stocks,1.47,386.84%
LTRYW,Lottery.com - Warrant,Operating Companies,$0.00 ,$0.28 ,$1.36 ,"$66,496,647 ","77,276",LTRY,Lottery.com,Common stocks,1.08,385.71%
SEATW,Vivid Seats Inc. - Warrant,Operating Companies,$0.00 ,$1.60 ,$7.76 ,"$617,287,639 ","19,694",SEAT,Vivid Seats Inc. - Class A,Common stocks,6.16,385.00%
BBLN+,Babylon Holdings Limited Warrant,Operating Companies,$0.00 ,$0.24 ,$1.16 ,"$375,006,895 ","6,203",BBLN,Babylon Holdings Limited Class A,Common stocks,0.92,383.33%
MPLN+,MultiPlan Corporation Warrants,Operating Companies,$0.00 ,$0.98 ,$4.72 ,"$2,950,310,979 ","25,241",MPLN,MultiPlan Corporation Class A,Common stocks,3.74,381.63%
LIDRW,"AEye, Inc. - Warrant",Operating Companies,$0.00 ,$1.13 ,$5.37 ,"$854,436,597 ","35,743",LIDR,"AEye, Inc. - Class A",Common stocks,4.24,375.22%
GMVDW,G Medical Innovations Holdings Ltd. - Warrants,Operating Companies,$0.00 ,$0.14 ,$0.65 ,"$12,075,776 ","39,897",GMVD,G Medical Innovations Holdings Ltd.,Common stocks,0.51,364.29%
VIEWW,"View, Inc. - Warrant",Operating Companies,$0.00 ,$0.14 ,$0.65 ,"$162,264,842 ","92,761",VIEW,"View, Inc. - Class A",Common stocks,0.51,364.29%
BEATW,"Heartbeam, Inc. Warrant",Operating Companies,$0.00 ,$0.31 ,$1.41 ,"$11,390,092 ","8,243",BEAT,"Heartbeam, Inc.",Common stocks,1.1,354.84%
IVDAW,"Iveda Solutions, Inc. - Warrant",Operating Companies,$0.00 ,$0.30 ,$1.34 ,"$16,764,388 ","3,624",IVDA,"Iveda Solutions, Inc.",Common stocks,1.04,346.67%
IEAWW,Infrastructure and Energy Alternatives Inc. Warrant,Operating Companies,$0.00 ,$1.75 ,$7.78 ,"$360,975,843 ","22,558",IEA,Infrastructure And Energy Alternatives Inc.,Common stocks,6.03,344.57%
WKSPW,"Worksport, Ltd. Warrant",Operating Companies,$0.00 ,$0.50 ,$2.20 ,"$35,618,615 ","5,828",WKSP,"Worksport, Ltd",Common stocks,1.7,340.00%
LMDXW,LumiraDx Limited Warrant,Operating Companies,$0.00 ,$0.89 ,$3.91 ,"$166,489,703 ","7,167",LMDX,LumiraDx Limited,Common stocks,3.02,339.33%
DRCTW,"Direct Digital Holdings, Inc. - Warrant",Operating Companies,$0.00 ,$0.39 ,$1.69 ,"$4,732,000 ","10,671",DRCT,"Direct Digital Holdings, Inc.",Common stocks,1.3,333.33%
ZIVOW,"Zivo Bioscience, Inc. Warrants",Operating Companies,$0.00 ,$0.64 ,$2.75 ,"$26,092,458 ","5,404",ZIVO,Zivo Bioscience Inc.,Common stocks,2.11,329.69%
DCFCW,Tritium DCFC Limited - Warrant,Operating Companies,$0.00 ,$1.89 ,$8.11 ,"$1,309,176,362 ","85,346",DCFC,Tritium DCFC Limited,Common stocks,6.22,329.10%
MCLDW,mCloud Technologies Corp. - Warrants,Operating Companies,$0.00 ,$0.50 ,$2.12 ,"$35,056,565 ","4,365",MCLD,mCloud Technologies Corp.,Common stocks,1.62,324.00%
VRMEW,"VerifyMe, Inc. - Warrant",Operating Companies,$0.00 ,$0.65 ,$2.66 ,"$21,421,626 ","17,276",VRME,VerifyMe Inc.,Common stocks,2.01,309.23%
MDGSW,Medigus Ltd. Series C Warrant,Operating Companies,$0.00 ,$0.21 ,$0.85 ,"$16,525,436 ","1,234",MDGS,Medigus Ltd. ADRs,ADRs,0.64,304.76%
